Sprint Number,Velocity (Story Points),Planned Stories,Completed Stories,Cycle Time (days),Bug Count,Team Capacity,Sprint Goal Achievement (%)
1,32,15,13,6.5,8,40,87
2,28,14,12,7.2,12,40,86
3,35,16,15,6.8,9,40,94
4,38,17,16,5.9,7,40,94
5,42,18,18,5.2,5,40,100
6,45,19,19,4.8,4,40,100
7,41,18,17,5.5,6,40,94
8,39,17,16,5.8,8,35,94
9,25,14,11,8.1,15,35,79
10,30,15,13,7.5,11,35,87
11,36,16,15,6.2,7,40,94
12,40,18,17,5.4,6,40,94
13,44,19,19,4.9,4,40,100
14,46,20,19,4.6,3,40,95
15,43,19,18,5.1,5,40,95
16,38,17,15,6.3,9,38,88
17,34,16,14,7.0,12,38,88
18,40,18,17,5.6,6,40,94
19,44,19,19,4.8,4,40,100
20,47,20,20,4.2,3,40,100
